ID,GENDER,STATUS,CHILDREN,ESTINCOME,CAROWNER,AGE,CreditCard,DOB,ADDRESS_1,CITY,STATE,ZIP,ZIP4,LONGITUDE,LATITUDE
1,F,S,1,38000,N,24.393333,1814138742463990,11/11/47,159 HUTTON ST BSMT A,ABSECON,NJ,8201,0,,
6,M,M,2,29616,N,49.426667,2471255795160690,3/17/92,31 WOODLAND RD,SAINT LOUIS,MO,63121,0,-90.285918,38.687261
8,M,M,0,19732.8,N,50.673333,5512488125429130,9/8/07,1910 COCHRAN RD STE 600,KEARNY,NJ,7032,0,,
11,M,S,2,96.33,N,56.473333,8636305559370360,4/29/80,187 HAYES MILL RD APT 17,RUSTON,LA,71270,0,-92.629521,32.531971
17,M,M,2,53010.8,N,18.84,4213876342524960,1/16/79,RR 1 BOX 57B,MONTGOMERY,AL,35125,0,-86.270005,33.593192
21,M,M,0,19749.3,N,60.366667,6507651549747850,12/6/92,7850 45TH AVE NW,CHESTER,MA,1011,0,,
22,M,S,1,57626.9,Y,43.906667,4135986504005940,4/24/11,RR 1 BOX 47,NEW CASTLE,PA,16102,0,,
24,F,M,2,47902,N,26.033333,6122888662217110,11/23/12,515 KENSINGTON ST,ISSAQUAH,WA,98075,0,,
35,F,S,0,78851.3,N,48.373333,4585206605602950,4/26/16,6077 STATE ROUTE 149,SHAVERTOWN,PA,18708,0,,
36,F,S,1,17540.7,Y,62.786667,9409654180396670,2/9/77,188 W OLYMPIC PL,EL PASO,TX,79925,0,-106.34411,31.79488
38,F,M,2,28220.8,N,38.766667,6218750199801500,2/1/05,21579 LARAMIE RD,PHILADELPHIA,PA,19104,0,-75.206995,39.964314
42,F,M,2,5237.63,N,48.753333,8635262400174430,10/1/24,1 PLAINVILLE CIR,HAVERHILL,MA,1835,0,,
45,M,S,2,89459.9,N,53.28,8482771708112880,6/14/33,4716 SW VIOLA CT,TENAFLY,NJ,7670,1057,,
48,F,S,1,13576.5,N,39.426667,6882642612356690,12/12/42,1 HAUN RD,PHAROAH,OK,74880,0,-96.1266,35.3353
52,F,M,2,67388,N,53.12,7637514717875820,1/25/47,4220 BARDSTOWN RD STE E,ARENA,ND,58494,0,,
53,F,M,1,57063,Y,52.333333,7118209203742010,2/20/46,10167 OAK HOLLOW CIR,STRAUSSTOWN,PA,19559,0,,
54,F,M,2,84166.1,N,54.013333,3773504534599880,10/5/16,D18 CALLE 5,HOUSTON,TX,77008,4708,,
60,F,S,1,7737.94,N,42.666667,3163284180988940,10/2/38,3579 N 47TH AVE,KENOSHA,WI,53142,0,,
63,F,M,2,59613.1,N,34.32,4859338552312390,8/1/88,1310 JOHNSON DR APT 1727 PMB 9182,BAJADERO,PR,616,0,,
68,F,S,2,9559.78,N,51.38,4682834204336340,4/12/27,4097 SANGAMON ST,JERSEY CITY,NJ,7305,0,-74.09905,40.689953
73,F,M,2,83284.1,Y,28.42,7338144573668550,8/31/59,3711 CHIMERA CT,CLEMSON,SC,29631,0,,
77,M,S,0,3601.71,N,49.266667,4848434580530930,3/27/63,900 GABBEN LN,RAHWAY,NJ,7065,0,-74.275844,40.612345
78,F,M,0,72642.6,N,27.646667,1584959970287140,1/4/18,3131 W MANSELL ST,JANESVILLE,CA,96114,0,,
79,F,S,0,98716.3,N,55.66,6200791102560970,5/29/66,1055 OVINGTON AVE,BELCOURT,ND,58316,0,,
81,F,M,2,84789.3,N,50.433333,2838613146806850,4/21/99,PO BOX 3061,SAINT PAUL,MN,55106,0,-93.03428,44.975861
83,F,M,2,35976.5,Y,48.853333,2071314296553780,2/12/35,1200 KELHIP RD,DALLAS,NC,1101,0,,
85,F,M,1,77129.1,Y,61.846667,5425149987217790,11/29/99,5627 N 16TH ST APT A11,MEMPHIS,TN,38115,0,,
86,F,M,2,8204.72,N,52.973333,5412817526183160,5/8/20,B176 I ST,ROCHESTER,NY,14621,0,-77.604341,43.193416
88,F,M,0,80405.1,N,60.226667,3201599036771050,2/24/59,PO BOX 10097,NAVARRE,OH,44662,0,-81.523123,40.727928
90,M,S,0,64136.6,Y,61.106667,6463607116339780,4/28/42,5028 E STATE ROUTE 185,SAN ANTONIO,TX,78210,0,-98.446634,29.398346
